latitude,longitude
51.31781175,-0.191576478
51.20542755,-0.083121833
51.18728571,-0.186359608
51.18761382,-0.107128467
51.35068352,0.020573954
51.37327541,-0.132202749
51.19861827,-0.070956859
51.22391317,-0.054228944
51.36012749,-0.20188957
51.27215388,0.06609361
51.34889829,-0.012252082
51.33740937,0.012217087
51.2976235,0.077008841
51.32090596,-0.081309703
51.22671524,-0.071905244
51.41619914,-0.106787992
51.24141452,0.097717993
51.14723997,0.017983517
51.28125543,0.003582547
51.31301328,0.064270751
51.2572172,-0.000695647
51.36439581,-0.030707349
51.2937553,-0.130907866
51.30785752,-0.150722255
51.25785381,0.007249256
51.2180056,0.049062136
51.28076537,-0.029206329
51.27151028,-0.019185707
51.20173344,-0.196685195
51.33335217,-0.186056326
51.36070628,-0.125629239
51.32774371,-0.01274023
51.20145806,0.071714752
51.26093642,0.020807198
51.25916293,0.064453701
51.28270549,-0.109098134
51.17463962,-0.166815945
51.13587571,0.020527874
51.31221525,-0.088781936
51.22798433,0.0462402
51.37182176,-0.126724372
51.42147698,-0.100145486
51.13391175,0.020828557
51.28776189,-0.195899624
51.1516515,-0.084055677
51.26642803,0.07879207
51.11972606,0.039707083
51.25251197,0.043280817
51.22171052,-0.132130536
51.13403467,-0.006930862
51.22348376,-0.064090098
51.30886298,0.004198118
51.19927851,0.027169732
51.2034505,0.001784704
51.28117459,0.055076491
51.10702276,0.120508016
51.3796499,0.000708467
51.36503313,-0.024181721
51.25167688,-0.067796198
51.13208157,0.082729455
51.18674912,-0.073130683
51.25118598,-0.012701822
51.24665524,-0.184420252
51.32349882,-0.071095761
51.34878493,0.047669624
51.17378799,0.016859097
51.34831865,0.029264328
51.30793658,-0.21173658
51.14047501,-0.046926193
51.13088518,0.122854733
51.31438063,-0.139393384
51.21898746,-0.074772916
51.22946289,-0.101266999
51.35767694,-0.157579679
51.19771659,-0.114824126
51.33516261,-0.088833737
51.17763456,-0.099604792
51.30537653,-0.025491838
51.31039465,-0.15008926
51.19957879,0.034933999
51.3137029,-0.214224559
51.28502245,-0.189549332
51.13268454,0.09504824
51.28606587,-0.089202425
51.19916058,0.107974085
51.36877757,-0.018588747
51.32006414,-0.137292512
51.15540535,-0.0033231
51.30882806,-0.176431648
51.33773469,0.040417049
51.37933576,-0.112266929
51.16876686,-0.084052483
51.37541271,-0.127162244
51.28688233,-0.172840227
51.38546556,-0.088075376
51.19551699,-0.0654863
51.36037801,0.058297996
51.28939844,0.085403183
51.3499045,-0.070384735
51.33499426,-0.186621666
51.22612657,-0.059962213
51.19322985,0.036277763
51.37869459,-0.199615504
51.11886813,0.086162972
51.15890524,-0.035875009
51.24078483,-0.110625189
51.32185681,-0.142288006
51.3039511,0.071781214
51.23223647,-0.049728545
51.26489584,-0.20114889
51.28058244,-0.18037577
51.22827513,-0.055884712
51.16289691,0.062384769
51.1770336,-0.175972179
51.3836986,-0.172225823
51.20741561,-0.088573919
51.22060865,0.091642625
51.36616279,-0.2208435
51.22892699,0.092761342
51.34033149,-0.029857581
51.21889215,-0.155630252
51.23143602,0.082423346
51.34540213,0.006211147
51.36476016,-0.001391882
51.38693268,-0.084592688
51.37391472,0.055638646
51.24305268,0.079167335
51.16195528,-0.11181222
51.28308256,-0.045916471
51.38748216,-0.165352081
51.26651537,0.092617437
51.33194518,0.076593494
51.38928347,-0.097797782
51.21100231,-0.160975716
51.23560914,-0.162387472
51.24225707,0.089095038
51.39253261,-0.109036841
51.13977661,0.067172027
51.1768992,0.07272052
51.36095694,-0.188476357
51.22741833,0.014398179
51.19364554,-0.011172141
51.21103479,0.049607173
51.24530887,-0.145620312
51.2973936,0.042417161
51.33333004,-0.001530603
51.12872867,0.100288867
51.29923381,-0.020756625
51.38673122,-0.172112963
51.20009049,-0.119770318
51.30154399,-0.030915127
51.28896497,-0.047613396
51.31465458,0.046899217
51.26613674,0.063073088
51.26577553,-0.023799848
51.34749823,-0.043224488
51.33444104,-0.118045369
51.34061789,0.025986041
51.20505467,-0.085117833
51.2605088,0.039525818
51.17525583,0.026228526
51.21372593,-0.163227438
51.26777697,0.065522424
51.24927631,-0.067581776
51.26012053,-0.020879725
51.1615763,0.05058384
51.17581721,-0.055403029
51.31295596,0.019396105
51.37768995,-0.199720538
51.25797273,-0.02341089
51.23021873,0.084919974
51.18374912,-0.16456553
51.31403429,-0.139534752
51.18446826,-0.003215928
51.21710737,-0.030933494
51.37447953,-0.047764229
51.32709614,0.034523676
51.3846725,-0.206914869
51.35941517,-0.042235172
51.27837143,-0.175665451
51.27986263,-0.184380368
51.34561218,-0.217820005
51.37469066,-0.17810682
51.29484618,0.031784415
51.09469927,0.126464958
51.28078998,-0.015482057
51.18870841,0.039620315
51.27590227,-0.198947912
51.34025977,-0.061414261
51.1632416,0.070988584
51.38622634,-0.036090191
51.23003979,-0.190559265
51.28878439,-0.082845219
51.27741045,0.044943726
51.40336827,-0.074372718
51.26851292,-0.200128596
51.25953014,-0.204608486
51.38868741,-0.132069893
51.18975724,0.023715601
51.23661723,-0.078129747
51.22909792,-0.152808716
51.32284835,0.074500536
51.29113159,-0.155579655
51.34080792,-0.193054233
51.182903,-0.031635886
51.27898574,0.010144617
51.12629561,0.050919746
51.1662819,0.057368744
51.33231855,0.014780121
51.27144065,0.079990276
51.22550534,-0.043038281
51.12493312,0.013381645
51.26450623,0.068165862
51.16763153,0.094061682
51.11332282,0.073662616
51.32144312,-0.100214916
51.30062702,0.00188068
51.15272675,0.054455901
51.1416988,0.029298532
51.23692234,-0.127114401
51.22737536,0.087846591
51.20646135,-0.076227723
51.33248474,-0.208759133
51.33418368,-0.060741459
51.24368707,-0.20449678
51.28786224,-0.047400848
51.21659979,0.002317716
51.31251852,-0.175664219
51.35191456,-0.02286525
51.3348098,-0.214867028
51.30432287,-0.17677878
51.40718386,-0.080177428
51.37564908,-0.031820386
51.20456066,-0.141741945
51.3076742,0.075814667
51.17021436,0.079184848
51.34528391,-0.182743549
51.24271848,-0.180727265
51.19619714,-0.167286897
51.27249909,-0.18084506
51.31429843,-0.096018677
51.3245619,-0.044288022
51.37281147,-0.104966478
51.17514654,-0.15119492
51.26892741,-0.129958413
51.19255033,0.076663948
51.37048918,-0.075430486
51.27121091,-0.127142087
51.24897302,0.079563136
51.36737526,-0.063150157
51.27379357,-0.084015593
51.36038841,-0.135741524
51.36909676,-0.212437221
51.35456373,-0.072764737
51.2659603,0.088890706
51.36279103,-0.029039309
51.16225151,0.071411109
51.37835596,-0.072128937
51.3223381,-0.108378865
51.38546464,0.00322743
51.24440461,0.077733922
51.25252496,-0.142434833
51.2474143,-0.157970621
51.39130475,0.004025778
51.13292938,0.075225037
51.35056969,0.005275191
51.23200261,0.08782225
51.17324565,0.089046988
51.26548053,-0.087727085
51.23421213,0.08315848
51.34098783,-0.026227488
51.13549879,0.043103622
51.34641314,-0.028142284
51.17686381,-0.112708873
51.19684073,0.069689152
51.30029508,0.013441953
51.20049735,0.086110883
51.36129479,-0.00980087
51.11633566,0.095492178
51.22365782,-0.177967185
51.37630596,-0.079175726
51.17360839,0.032107314
51.34860665,0.024291102
51.34275776,-0.184788969
51.31784553,-0.140814138
51.26780454,0.030637175
51.32541374,-0.194418136
51.1989543,0.057126117
51.24050331,-0.040804059
51.37336169,-0.103651652
51.23297721,-0.002429394
51.38378513,-0.18875846
51.30978134,0.068571322
51.36561799,-0.20265857
51.14007426,-0.022535986
51.26282596,-0.106335609
51.37057154,-0.170741819
51.26396702,0.021180857
51.28301046,-0.209794902
51.30817534,-0.074671795
51.23602179,-0.041720193
51.21213906,-0.126697968
51.3314196,-0.01707511
51.28403483,-0.190386022
51.39318364,-0.120681646
51.348443,-0.052029426
51.31242012,0.003149523
51.35846293,-0.089596415
51.30205432,-0.131874912
51.1336116,-0.022277551
51.23317142,-0.148914068
51.37416555,-0.164908501
51.21826265,0.086799921
51.3023844,0.006250404
51.28697306,-0.108241017
51.30199274,0.022274992
51.38701799,0.018593034
51.29696294,0.072417474
51.36913807,-0.042486437
51.17248155,0.10858435
51.2852841,0.08719217
51.22557039,-0.015296209
51.32491607,0.055903145
51.21048863,0.008716178
51.22185285,0.013544403
51.25342311,-0.155096905
51.19370769,0.067961133
51.36278331,-0.20198718
51.22370521,0.069189082
51.24892559,-0.150905823
51.19469843,-0.030978891
51.22765531,-0.146856857
51.20160133,0.020200647
51.25762639,-0.104300943
51.13841347,0.004030608
51.17994155,-0.066211419
51.23516654,-0.107348328
